"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"575","RT @LaloGonzalezM: Quién creen que gane el #Oscars por Mejor Película? / @Siempre889",FALSE,0,NA,2017-02-27 02:27:45,FALSE,NA,"836040090698854402",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Siempre889",1,TRUE,FALSE,NA,NA
"576","Espero gane ISABELLE HUPPERT como mejor actriz, que papel tan brutal que se hace en ELLE, película que me mostró mi amada #Oscars",FALSE,0,NA,2017-02-27 02:27:30,FALSE,NA,"836040027691962368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Giofregon",0,FALSE,FALSE,NA,NA
"577","RT @Marisol_Calva: Quiero que el Óscar a mejor película lo gane #HiddenFigures #Oscars",FALSE,0,NA,2017-02-27 02:26:37,FALSE,NA,"836039805251137536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jaldagarmx",2,TRUE,FALSE,NA,NA
"578","RT @MoXbabygirl: Amo @DisneyMoana, ojalá gane a la mejor película animada :D me encanta @auliicravalho, es tan linda y canta hermoso <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #Osc…",FALSE,0,NA,2017-02-27 02:25:20,FALSE,NA,"836039482575097857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chipyguaw",2,TRUE,FALSE,NA,NA
"579","Esperando que #LaLaLand gane la categoría Mejor Película #Oscars2017",FALSE,0,NA,2017-02-27 02:25:17,FALSE,NA,"836039471187525632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Briones_Benny",0,FALSE,FALSE,NA,NA
"580","#Oscars2017 que gane Andrew Garfield como mejor actor y la pelicula tambien... Ojalá.",FALSE,0,NA,2017-02-27 02:24:58,FALSE,NA,"836039391545958400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lalinidavis",0,FALSE,FALSE,NA,NA
"581","Ya quiero que La la land gané mejor película #Oscars",FALSE,1,NA,2017-02-27 02:24:29,FALSE,NA,"836039270674608128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NichoPajero",0,FALSE,FALSE,NA,NA
"582","ESPERO QUE GANE VIOLA DAVIS EN MEJOR ACTRIZ DE REPARTO. NO SÉ EN QUÉ PELÍCULA PERO ME DA IGUAL, QUE GANE. #Oscars",FALSE,1,NA,2017-02-27 02:24:25,FALSE,NA,"836039252702015489",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LaMeryComenta",0,FALSE,FALSE,NA,NA
"583","RT @cristinaibaco: No quiero que La La Land gane Mejor Película. Si estás conmigo RT #Oscars",FALSE,0,NA,2017-02-27 02:24:07,FALSE,NA,"836039177120665600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Supel27",45,TRUE,FALSE,NA,NA
"584","RT @DayhanaMata: Se merece todo lo que se gane, la mejor película <ed><U+00A0><U+00BC><ed><U+00BE><U+00A5><U+2764> #Oscars #Oscars2017 #teamgosling #LALALAND https://t.co/kFzOC6fGl8",FALSE,0,NA,2017-02-27 02:23:47,FALSE,NA,"836039095486922752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","superigui21",70,TRUE,FALSE,NA,NA
